timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
58556000,-0.0055349087,0.21401137,1.5707964,0.0,0.7028507,-0.07746554,0.07357415,0.7032687,0.0,0.0,-0.99999994,0,0
58604000,-0.014689889,0.15520862,1.5707964,0.0,0.70455694,-0.05999597,0.049640004,0.7053622,0.0,0.0,-1.0,0,0
58660000,-0.017510327,0.11804931,1.5707964,0.0,0.70548314,-0.04789088,0.035530925,0.70621353,0.0,0.0,-0.8483295,0,0
58708000,-0.0237886,0.13779658,1.5707964,0.0,0.7048002,-0.057066854,0.040286083,0.7059583,0.0,0.0,-0.23205386,0,0
58756000,-0.052767742,0.30022886,1.5719837,0.0,0.6957049,-0.12420797,0.08719393,0.70211416,0.0,0.0,-1.0,0,0
58804000,-0.05340165,0.25619417,1.5719837,0.0,0.69823396,-0.10906448,0.07151046,0.7038896,0.0,0.0,-1.0,0,0
58860000,-0.03769896,0.1593604,1.5719837,0.0,0.7032581,-0.06958384,0.04294599,0.7062165,0.0,0.0,-0.9630598,0,0
58900000,-0.023749033,0.08052617,1.5708919,0.0,0.70611215,-0.036851104,0.020069296,0.70685565,0.0,0.0,-0.9371446,0,0
58956000,-0.0040492197,0.009925887,1.5708919,0.0,0.70705575,-0.004941005,0.0020774766,0.7071375,0.0,0.0,-0.89167106,0,0
59004000,0.010078262,-0.028239692,1.5708919,0.0,0.7069432,0.01354692,-0.0064203,0.7071115,0.0,0.0,-0.85493964,0,0
59060000,0.02196441,-0.060540974,1.5679382,0.0,0.7075148,0.029142264,-0.013679687,0.70596486,0.0,0.0,-0.82263297,0,0
59108000,0.028595494,-0.07775435,1.5679382,0.0,0.7071168,0.03755776,-0.01743222,0.70588326,0.0,0.0,-0.8050179,0,0
59156000,0.034630973,-0.09131972,1.5679382,0.0,0.70671445,0.044472177,-0.020103391,0.7058136,0.0,0.0,-0.7954127,0,0
59204000,0.03225796,-0.07718673,1.5644835,0.0,0.70827615,0.038624905,-0.016005378,0.70469624,0.0,0.0,-0.789603,0,0
59252000,0.037849028,-0.085666604,1.5644835,0.0,0.70798653,0.043588042,-0.017042123,0.7046735,0.0,0.0,-0.78937596,0,0
59308000,0.04277305,-0.09461181,1.5644835,0.0,0.70766675,0.04847661,-0.01847882,0.7046392,0.0,0.0,-0.7919365,0,0
59356000,0.038494136,-0.08275367,1.5614794,0.0,0.70909333,0.042767964,-0.015846236,0.70363814,0.0,0.0,-0.7933111,0,0
59404000,0.041101657,-0.087702245,1.5614794,0.0,0.7089264,0.045430347,-0.016686117,0.70362,0.0,0.0,-0.79626495,0,0
59452000,0.043356717,-0.09197406,1.5614794,0.0,0.708774,0.047729563,-0.017409667,0.70360374,0.0,0.0,-0.7989214,0,0
